"ChgOpId","Partner","Type","Nb_Nodes_source","nb_activ_source","nb_AndGtw_source","nb_XorGtw_source","Nb_Nodes_target","nb_activ_target","nb_AndGtw_target","nb_XorGtw_target","nb_affected_partners","nb_Insert_genreated","nb_Replace_generated","nb_Delete_generated","exec_time"
"9d96ef6d-d279-48b3-a360-6a10ec503c86","partner4","Replace","22","8","0","10","67","37","4","26","4","0","2","2","62"
"fb41b0c6-709a-4d47-8b42-1487ae912c77","partner3","Replace","6","2","2","0","8","4","0","4","1","0","1","0","4"
"b5dca224-6870-4fd8-8465-f3e73ad1cf42","partner3","Replace","10","4","2","2","14","8","0","4","4","1","0","3","10356"
"c2714eba-7371-4f74-9965-cadca17e06a8","partner5","Insert","3","1","0","0","4","2","0","0","1","1","0","0","284"
"455800c6-31b2-4582-ac43-9ad1b99c90da","partner15","Insert","3","1","0","0","3","1","0","0","1","1","0","0","323"
"7be6b1bc-01ed-44c4-a77c-3e1f36e0a7ec","partner9","Delete","1","1","0","0","1","1","0","0","1","0","0","1","14"
"7421a2f8-bdf5-45a1-940c-346ccd8a120d","partner9","Replace","6","2","0","2","5","3","0","2","1","0","1","0","3"
"c5035be7-a265-45d9-ba39-b93b3e524113","partner9","Insert","20","10","4","4","48","22","2","12","6","6","0","0","78558"
"61cafcbc-4f5f-4794-ae9f-c54bdc1ba2bf","partner16","Replace","15","3","0","10","4","2","0","2","2","0","0","2","84"
"07ea7e13-5070-4d85-aa79-8db4b48c1984","partner3","Replace","16","6","2","6","12","6","0","4","6","1","0","5","415"
"cdd79ad4-a41a-489d-9e18-e81d5f8727f5","partner9","Replace","39","17","6","14","35","27","0","8","9","0","1","8","653"
"5765e7c8-ca18-4db9-8266-b0b1715db2a7","partner8","Replace","12","6","2","2","12","8","0","4","4","0","2","2","56"
"deaed721-9da8-42b5-89aa-c0e32405c2b2","partner7","Insert","3","1","0","0","5","3","0","0","1","1","0","0","813"
"84f7b102-5a76-40d7-92f9-6f43052b28dd","partner18","Replace","8","4","0","2","8","4","2","2","2","0","2","0","7"
"51f1ddfb-36da-43ef-9471-d7f0f6a022e9","partner10","Insert","8","2","0","4","33","11","4","14","2","2","0","0","5715"
"14792bf4-5a9f-49c5-9c46-3b90363d8ee0","partner9","Insert","12","4","2","4","31","11","0","12","4","4","0","0","2677"
"46c147a6-bb57-4cbe-ba46-887de268ed16","partner8","Replace","20","8","4","6","22","20","0","2","6","0","1","5","191"
"578d0eae-8894-4ca9-9325-f795bcfa0784","partner8","Replace","10","4","0","4","2","2","0","0","2","0","0","2","31"
"d5af3895-e21c-40b6-8206-5e3f63ea3e20","partner20","Insert","3","1","0","0","3","1","0","0","1","1","0","0","264"
"b7e3bda9-0fac-4ebe-b044-6456a1a7bbb3","partner7","Insert","3","1","0","0","3","1","0","0","1","1","0","0","335"
"075286f7-288a-49a6-85ff-717c6b6c8e66","partner2","Insert","3","1","0","0","3","1","0","0","1","1","0","0","2295"
"03447e56-1470-4fcf-8ac4-23898d18a071","partner9","Replace","12","4","4","2","50","26","4","14","4","3","0","1","41289"
"53e77992-b26e-43f0-b980-ecb11a839793","partner9","Insert","3","1","0","0","3","1","0","0","1","1","0","0","3817"
"80ecabcf-fce2-4794-828c-5fda28b3b6fa","partner14","Insert","3","1","0","0","3","1","0","0","1","1","0","0","661"
"177e07e1-b7d4-4410-af4e-4d7b89f9edc5","partner5","Replace","7","3","2","0","17","15","2","0","2","0","1","1","15"
"49303f0d-3376-43df-967d-7829b02e0796","partner3","Insert","6","2","2","0","6","2","0","0","2","2","0","0","3189"
"df9f8a51-ff7a-4d67-8b35-671c35d5f439","partner16","Replace","13","3","0","8","15","3","0","10","2","1","1","0","1307"
"ecaaf388-0721-4260-98ae-0f2d5f375adc","partner7","Replace","36","28","2","4","58","42","6","10","6","0","5","1","65"
"fc9d62be-40c3-406b-bb72-d62cf9037f97","partner17","Replace","21","7","2","8","12","8","0","4","5","0","1","4","101"
"4ad49adb-8403-4237-b2c5-344a58e62efc","partner3","Replace","34","14","2","16","111","31","0","64","10","8","2","0","156984"
"2b79053d-4ccf-4705-aad1-90eb26189ca5","partner11","Insert","4","2","0","0","6","2","0","0","2","2","0","0","1570"
"4a07c172-60cc-4a3d-a3e8-13d0bcef6d75","partner6","Insert","3","1","0","0","3","1","0","0","1","1","0","0","391"
"26a705f0-93a8-4f1f-bda4-ced24b1c87a8","partner7","Insert","3","1","0","0","4","2","0","0","1","1","0","0","71558"
"17512a95-cd7e-499c-9c46-2ae66bdbaca8","partner3","Insert","3","1","0","0","3","1","0","0","1","1","0","0","3133"
"46499ef8-75f3-45ec-a1bd-63e21ee4480a","partner9","Insert","3","1","0","0","3","1","0","0","1","1","0","0","2848"
"c2102d07-d23e-4af8-ace4-e0b1cbfdee02","partner5","Replace","7","3","0","2","6","4","0","2","2","0","1","1","12"
